time(s),lattitude,longitude,altitude
1731065732,55.3672853,10.430572,60.37641339019271
1731065733,55.3672827,10.4305725,60.54741577090701
1731065733,55.3672796,10.4305721,60.606420298111296
1731065733,55.367276,10.4305701,61.07742815843011
1731065733,55.3672739,10.4305706,61.27842991823003
1731065733,55.3672714,10.4305705,61.29743319178212
1731065734,55.3672687,10.4305714,60.832435018414095
1731065734,55.367265,10.4305681,61.03944520647529
1731065734,55.3672636,10.4305694,61.01944474090993
1731065734,55.3672612,10.4305697,60.866447212107644
1731065734,55.3672593,10.4305712,60.88744702825662
1731065735,55.3672566,10.4305706,61.117451397559094
1731065735,55.3672549,10.4305713,61.163452321530045
